CATEGORY,SUB_CATEGORY,TOTAL_SALES,TOTAL_PROFIT
Technology,Copiers,1509436.27,258567.55
Technology,Phones,1706824.14,216717.01
Furniture,Bookcases,1466572.24,161924.42
Office Supplies,Appliances,1011064.31,141680.59
Furniture,Chairs,1501681.76,140396.27
Technology,Accessories,749237.02,129626.31
Office Supplies,Storage,1127085.86,108461.49
Office Supplies,Binders,461911.51,72449.85
Office Supplies,Paper,244291.72,59207.68
Technology,Machines,779060.07,58867.87
Office Supplies,Art,372091.97,57953.91
Furniture,Furnishings,385578.26,46967.43
Office Supplies,Envelopes,170904.3,29601.12
Office Supplies,Supplies,243074.22,22583.26
Office Supplies,Labels,73404.03,15010.51
Office Supplies,Fasteners,83242.32,11525.42
Furniture,Tables,757041.92,-64083.39
